Date,Store / Outlet,item name,Category,Receipt Price ($),Weight / Qty,Unit,Normalized Unit Price ($),Std Unit
2026-06-13, Apni Mandi, DEEP RICE FLOUR, Grains / Flours,2.99,907, GM,0.33, per 100g
2026-06-13, Apni Mandi, Crisco Pure Vegetable Oil, Baking / Oils,$5.99,40.00, OZ,$0.15, per oz
2026-06-13, Apni Mandi, Hans moth, Lentils / Pulses,$3.99,2.00, LB,$2.00, per lb
2026-06-13, Apni Mandi, Khazana Poha Thick, Grains / Flours,$3.99,2.00, LBS,$2.00, per lb
2026-06-13, Apni Mandi, GARVI GUJARAT BHEL SEV, Snacks,$3.29,285.00, GM,$1.15, per 100g
2026-06-13, Apni Mandi, DEEP MASOOR DAL SPLIT LENTILS, Lentils / Pulses,$3.79,907.00, GM,$0.42, per 100g
2026-06-13, Apni Mandi, Ganesh Idli Batter, Dairy / Fresh Foods,$6.79,32.00, OZ,$0.21, per oz
2026-06-13, Apni Mandi, Oreo Milk Cookies, Snacks,$1.99,1.00, EA,$1.99, per unit
2026-06-13, Apni Mandi, Thai Chilli per lb, Produce,0.45,0.09, LB,4.99, per lb
2026-06-13, Apni Mandi, Green Bell Pepper Per Lb, Produce,1.38,0.99, LB,1.39, per lb
2026-06-13, Apni Mandi, Oreo Milk Cookies, Snacks,1.99,1, EA,1.99, per unit
2026-06-13, Apni Mandi, White Potato Big per lb, Produce,1.56,1.58, LB,0.99, per lb
2026-06-13, Apni Mandi, Joy Mint Chutney, Condiments,5.49,8, OZ,0.69, per oz
2026-06-13, Apni Mandi, PARLE KRACKJACK SWEET & SALTY CRAC, Snacks,1.69,1, EA,1.69, per unit
2026-06-13, Apni Mandi, LAYS INDIA'S MAGIC MASALA, Snacks,1.29,52, GM,2.48, per 100g
2026-06-13, Apni Mandi, Broccoli per lb, Produce,0.55,0.62, LB,0.89, per lb
2026-06-13, Apni Mandi, Verka Paneer, Dairy,5.79,10, OZ,0.58, per oz
2026-06-13, Apni Mandi, Amul Cheese Slices, Dairy,6.49,200, GM,3.25, per 100g
2026-06-13, Apni Mandi, Heinz Ketchup, Condiments,3.99,1, EA,3.99, per unit
2026-06-13, Apni Mandi, Loose Garlic per lb, Produce,0.16,0.11, LB,1.49, per lb
2026-06-13, Apni Mandi, Red Onion per lb, Produce,1.23,1.24, LB,0.99, per lb
2026-06-13, Apni Mandi, HALDIRAM'S AJWAIN PARATHA, Frozen Foods,3.99,360, GM,1.11, per 100g
2026-06-13, Apni Mandi, RED LABEL TEA, Beverages,6.99,450, GM,1.55, per 100g
2026-06-13, Apni Mandi, Bambino Premium Vermicelli, Grains / Flours,2.49,350, GM,0.71, per 100g
2026-06-13, Apni Mandi, LIJJAT PAPAD GREEN CHILLIES, Snacks,2.29,200, GM,1.15, per 100g
2026-06-13, Apni Mandi, DEEP TOOR DAL (DRY), Lentils / Pulses,3.99,907, GM,0.44, per 100g
2026-06-13, Apni Mandi, Ashoka Grated Coconut, Frozen Foods,4.29,310, GM,1.38, per 100g
2026-06-13, Apni Mandi, Vadilal Green Peas Mutter, Frozen Foods,3.49,312, GM,1.12, per 100g
2026-06-13, Apni Mandi, Cilantro ea, Produce,0.5,1, EA,0.5, per unit
2026-06-13, Apni Mandi, Green Beans per lb, Produce,2.15,0.9, LB,2.39, per lb
2026-06-13, Apni Mandi, Indian Carrot per lb, Produce,1.56,0.56, LB,2.79, per lb
2026-06-13, Apni Mandi, Beetroot per lb, Produce,0.84,0.94, LB,0.89, per lb
2026-06-13, Apni Mandi, Roma Tomato per lb, Produce,1.75,1.61, LB,1.09, per lb
2026-06-13, Apni Mandi, Lime Ea, Produce,0.2,1, EA,0.2, per unit
2026-06-14, new India bazar, CURRY/NEEM LEAVES, Produce,1,1, EA,1, per unit
2026-06-14, new India bazar, BERKELEY WHOLE MILK 1/2 GALLON, Dairy,4.49,0.5, GAL,8.98, per gal
2026-06-14, new India bazar, CABBAGE, Produce,0.93,1.18, LB,0.79, per lb
2026-06-14, new India bazar, VEER VATANA WHITE PEAS 2LB, Lentils / Pulses,2.99,2, LB,1.5, per lb
2026-06-14, new India bazar, WHOLE WHEAT BREAD EGGLESS, Bakery,1.99,1, EA,1.99, per unit
2026-06-14, new India bazar, AMUL CHEESE CHIPLETS 200GM, Dairy,5.49,200, GM,2.75, per 100g
2026-06-21, patel, HALDIRAM KHARI, Snacks,4.99,1, EA,4.99, per unit
2026-06-21, patel, RED ONION LOOSE, Produce,1.65,1.67, LB,0.99, per lb
2026-06-21, patel, METHI, Produce,1.99,1, EA,1.99, per unit
2026-06-21, patel, RED BELL PEPPER, Produce,0.93,0.94, LB,0.99, per lb
2026-06-21, patel, PERSAN CUCUMBER, Produce,0.28,0.36, LB,0.78, per lb
2026-06-21, patel, SESAME SEED, Spices / Baking,2.99,1, EA,2.99, per unit
2026-06-21, patel, TATA SALT, Spices / Baking,1.99,1, EA,1.99, per unit
2026-06-21, patel, KRACKJACK 75GM, Snacks,0.59,75, GM,0.79, per 100g
2026-06-21, patel, KRACKJACK 75GM, Snacks,0.59,75, GM,0.79, per 100g
2026-06-21, patel, AASHIRVAAD ATTA, Grains / Flours,5.99,1, EA,5.99, per unit
2026-06-21, patel, THAI CHILLI, Produce,0.25,0.05, LB,5, per lb
2026-06-21, patel, DESI LINE GARLIC LOOS, Produce,0.24,0.12, LB,2, per lb
2026-06-21, patel, GINGER, Produce,0.3,0.15, LB,2, per lb
2026-06-21, patel, ROMA TOMATO, Produce,1.13,1.91, LB,0.59, per lb
2026-06-21, patel, INDIAN OKRA, Produce,3.38,1.13, LB,2.99, per lb
2026-06-21, patel, BUTTER 100, Dairy,2.99,1, EA,2.99, per unit
2026-06-21, patel, CARROTS, Produce,0.21,0.27, LB,0.78, per lb
2026-06-21, patel, INDIAN CARROT, Produce,0.57,0.19, LB,3, per lb
2026-06-21, patel, S GREEN PEAS12OZ, Frozen Foods,2.99,12, OZ,0.25, per oz
2026-06-21, patel, DAB SESAME OILSM, Baking / Oils,3.99,1, EA,3.99, per unit
2026-06-21, walmart, SB MINI HT, Home Goods,10.68,1, EA,10.68, per unit
2026-06-21, walmart, FZYSTKRBW100, Office Supplies / Crafts,2.53,1, EA,2.53, per unit
2026-06-21, walmart, 4T SHOE RACK, Home Goods,11.48,1, EA,11.48, per unit
2026-06-21, walmart, NM VITB12 FD, Health & Wellness,6.74,1, EA,6.74, per unit
2026-06-21, walmart, MEMO BOOK, Office Supplies / Crafts,1.66,1, EA,1.66, per unit
2026-06-28, new India bazar, VITAPLUS NATURAL FIGS 7 OZ, Snacks,7.49,7, OZ,1.07, per oz
2026-06-28, new India bazar, JOY SANDWICH CHUTNEY 8oz, Condiments,4.79,8, OZ,0.6, per oz
2026-06-28, new India bazar, VERKA PANEER 284GM, Dairy,5.49,284, GM,1.93, per 100g
2026-06-28, new India bazar, ONION RED, Produce,1.16,1.17, LB,0.99, per lb
2026-06-28, new India bazar, ATAULFO/MANILA MANGO EACH, Produce,1.99,1, EA,1.99, per unit
2026-06-28, new India bazar, LAXMI SONA MASOORI 4LB, Grains / Flours,6.29,4, LB,1.57, per lb
2026-06-28, new India bazar, VEER FENNEL SEEDS 200GM, Spices / Baking,1.99,200, GM,1, per 100g
2026-06-28, new India bazar, MTR SPICED CHUTNEY POWDER 200GM, Condiments,4.49,200, GM,2.25, per 100g
2026-06-28, new India bazar, LAXMI SOOJI COARSE 2LB, Grains / Flours,3.99,2, LB,2, per lb
2026-06-28, new India bazar, TOMATOES ROMA, Produce,1.15,1.46, LB,0.79, per lb
2026-06-28, new India bazar, SURATI SEV FINE 341GM, Snacks,3.49,341, GM,1.02, per 100g
2026-06-28, new India bazar, INDIAN OKRA, Produce,1.62,0.56, LB,2.89, per lb
2026-06-28, new India bazar, METHI, Produce,2.49,1, EA,2.49, per unit
2026-06-28, new India bazar, CILANTRO, Produce,0.78,2, EA,0.39, per unit
2026-06-28, new India bazar, BELLPEPPER GREEN, Produce,0.46,0.31, LB,1.49, per lb
2026-06-28, new India bazar, INDIAN CARROT, Produce,1.68,0.42, LB,3.99, per lb
2026-06-28, new India bazar, PICKLE PERSIAN, Produce,0.39,0.49, LB,0.79, per lb
2026-06-28, new India bazar, CHILLI THAI, Produce,0.2,0.04, LB,4.99, per lb
2026-06-28, new India bazar, POTATO WHITE SMALL, Produce,1.58,1.6, LB,0.99, per lb
2026-06-28, new India bazar, GITS KHAMAN DHOKLA MIX 500GM, Grains / Flours,4.99,500, GM,1, per 100g
2026-06-28, new India bazar, VEER CASHEW SPLIT 200GM, Snacks,4.99,200, GM,2.5, per 100g
2026-06-28, new India bazar, SAMOSA, Snacks,2.5,2, EA,1.25, per unit
2026-07-05, new India bazar, SPINACH BUNCH, Produce,0.99,1, EA,0.99, per unit
2026-07-05, new India bazar, GARLIC, Produce,0.99,1, EA,0.99, per unit
2026-07-05, new India bazar, GINGER, Produce,0.18,0.18, LB,1, per lb
2026-07-05, new India bazar, CABBAGE, Produce,1.22,1.54, LB,0.79, per lb
2026-07-05, new India bazar, VEER MOONG DAL 2LB, Lentils / Pulses,3.99,2, LB,2, per lb
2026-07-05, new India bazar, VEER/AME GUJARATI SOOJI FINE (SEMOLINA) 908GM, Grains / Flours,3.49,908, GM,0.38, per 100g
2026-07-05, new India bazar, AME GUJARATI JOWAR FLOUR 2LB, Grains / Flours,3.99,2, LB,2, per lb
2026-07-12, new India bazar, BEAN GREEN, Produce,1.17,0.91, LB,1.29, per lb
2026-07-12, new India bazar, CILANTRO, Produce,0.39,1, EA,0.39, per unit
2026-07-12, new India bazar, POTATO WHITE SMALL, Produce,1.55,1.57, LB,0.99, per lb
2026-07-12, new India bazar, CHILLI THAI, Produce,0.27,0.09, LB,2.99, per lb
2026-07-12, new India bazar, SPINACH BUNCH, Produce,0.99,1, EA,0.99, per unit
2026-07-12, new India bazar, TOMATOES ROMA, Produce,1.34,1.69, LB,0.79, per lb
2026-07-12, new India bazar, ONION RED, Produce,1.09,1.1, LB,0.99, per lb
2026-07-12, new India bazar, BEETS, Produce,0.23,0.23, LB,0.99, per lb
2026-07-12, new India bazar, ONION YELLOW, Produce,0.31,0.53, LB,0.59, per lb
2026-07-12, new India bazar, GINGER, Produce,0.15,0.19, LB,0.79, per lb
2026-07-12, new India bazar, MDH KASURI METHI 25GM, Spices / Baking,1.09,25, GM,4.36, per 100g
2026-07-12, new India bazar, NIB WALNUTS NO SHELL, Snacks,4.72,1, EA,4.72, per unit
2026-07-12, new India bazar, NIB BLACK RAISINS 1L, Snacks,9.35,1, EA,9.35, per unit
2026-07-12, new India bazar, VEER CUMIN SEEDS 200GM, Spices / Baking,2.99,200, GM,1.5, per 100g
2026-07-12, new India bazar, SUJATA GOLD ATTA 4LB, Grains / Flours,5.49,4, LB,1.37, per lb
2026-07-12, new India bazar, VEER FENUGREEK SEEDS 200GM, Spices / Baking,1.79,200, GM,0.9, per 100g
2026-07-12, new India bazar, VEER BAY LEAVES 50GM, Spices / Baking,1.49,50, GM,2.98, per 100g
2026-07-12, new India bazar, DEEP HING 1.7OZ, Spices / Baking,2.79,1.7, OZ,1.64, per oz
2026-07-12, new India bazar, TAMARIND CONCENTRATE 227GM, Condiments,2.49,227, GM,1.1, per 100g
2026-07-12, new India bazar, VEER KALA CHANA 2LB, Lentils / Pulses,3.99,2, LB,2, per lb
2026-07-12, new India bazar, SURATI BOONDI 341GM, Snacks,3.29,341, GM,0.96, per 100g
2026-07-12, new India bazar, OS BYADGI RED CHILI 100GM, Spices / Baking,1.99,100, GM,1.99, per 100g
2026-07-12, Walmart, WIPES, Personal Care,1,1, EA,1, per unit
2026-07-12, Walmart, LISTERINE, Personal Care,2,1, EA,2, per unit
2026-07-12, Walmart, BIC CR 10BLK, Office Supplies / Stationery,0.97,1, EA,0.97, per unit
2026-07-12, Walmart, MINT-SWEET M, Personal Care,4.68,1, EA,4.68, per unit
2026-07-12, Walmart, MG POMIX 8QT, Lawn & Garden / Home,5.37,1, EA,5.37, per unit
2026-07-12, Walmart, LSH LVNDR BB, Personal Care / Home,1,1, EA,1, per unit
2026-07-12, Walmart, AQU LIP SPF, Personal Care,5.12,1, EA,5.12, per unit
2026-07-12, Walmart, SEN TP RE PR, Personal Care,7.47,1, EA,7.47, per unit
2026-07-19, New India Bazar, VADILAL GREEN PEAS 312GM, Frozen Foods,2.49,312, GM,0.8, per 100g
2026-07-19, New India Bazar, HALDIRAMS HOME STYLE PARATHA 360GM, Frozen Foods,3.29,360, GM,0.91, per 100g
2026-07-19, New India Bazar, VERKA PANEER 284GM, Dairy,5.49,284, GM,1.93, per 100g
2026-07-19, New India Bazar, HALDIRAMS GARLIC NAAN 5 PCS 400GM, Frozen Foods,3.99,400, GM,1, per 100g
2026-07-19, New India Bazar, CABBAGE, Produce,0.57,1.45, LB,0.39, per lb
2026-07-19, New India Bazar, PICKLE PERSIAN, Produce,0.45,0.65, LB,0.69, per lb
2026-07-19, New India Bazar, BEAN GREEN, Produce,1.16,0.9, LB,1.29, per lb
2026-07-19, New India Bazar, BELLPEPPER GREEN, Produce,0.61,0.62, LB,0.99, per lb
2026-07-19, New India Bazar, METHI, Produce,2.49,1, EA,2.49, per unit
2026-07-19, New India Bazar, VEER CASHEWS SPLIT 14OZ, Snacks,9.99,14, OZ,0.71, per oz
2026-07-19, New India Bazar, NIB PUMPKIN SEEDS 400GM, Snacks,6.99,400, GM,1.75, per 100g
2026-07-19, New India Bazar, MIRCH MASALA PUNJABI MIX 340GM, Snacks,3.99,340, GM,1.17, per 100g
2026-07-19, New India Bazar, VEER PASTA STICK, Snacks,2.99,1, EA,2.99, per unit
2026-07-19, New India Bazar, BRITANNIA 50/50 SWEET & SALTY FAMILY PACK 372GM, Snacks,3.99,372, GM,1.07, per 100g
2026-07-19, New India Bazar, SURATI MIXED SAVOURIES 341GM, Snacks,3.29,341, GM,0.96, per 100g
2026-07-19, New India Bazar, CILANTRO, Produce,0.39,1, EA,0.39, per unit
2026-07-19, New India Bazar, PITAMBARI DEEP SHAKTI OIL 450ML, Housewares / Oils,3.99,450, ML,0.89, per 100ml
2026-07-19, New India Bazar, CHILLI THAI, Produce,0.3,0.1, LB,2.99, per lb
2026-07-19, New India Bazar, ONION YELLOW, Produce,0.49,0.83, LB,0.59, per lb
2026-07-19, New India Bazar, ONION RED, Produce,0.67,0.68, LB,0.99, per lb
2026-07-19, New India Bazar, SAMOSA, Snacks,1.25,1, EA,1.25, per unit
2026-07-19, New India Bazar, KACHORI/ALOO TIKKI, Snacks,1.6,1, EA,1.6, per unit
2026-07-19, New India Bazar, AMUL PURE GHEE 1LTR, Baking / Oils,11.99,1, EA,11.99, per unit
2026-07-19, New India Bazar, HALDIRAMS KHARI JEERA 400GM, Snacks,4.69,400, GM,1.17, per 100g
2026-07-19, New India Bazar, VEER FRYUMS YELLOW NET 200GM, Snacks,1.99,200, GM,1, per 100g
2026-07-19, New India Bazar, JIVA ORGANIC JAGGERY POWDER 14OZ, Grains / Flours,4.29,14, OZ,0.31, per oz
2026-07-19, New India Bazar, CARROT, Produce,0.37,0.37, LB,0.99, per lb
2026-07-19, New India Bazar, SURATI MOONG DAL 341GM, Lentils / Pulses,3.29,341, GM,0.96, per 100g
2026-07-19, New India Bazar, TOMATOES ROMA, Produce,0.81,1.02, LB,0.79, per lb
2026-07-19, Costco, SW RANCH KIT, Grocery / Packaged Foods,6.99,1, EA,6.99, per unit
2026-07-19, Costco, NEXIUMOTC 42, Health & Wellness,20.49,1, EA,20.49, per unit
2026-07-19, Costco, ORG MEDITERR, Grocery / Packaged Foods,9.99,1, EA,9.99, per unit
2026-07-19, Costco, KS BATTERIES / KS AAA, Household,14.99,1, EA,14.99, per unit
2026-07-26, New India Bazar, IYENGARAN WHEAT SANDWICH BREAD EGGLESS, Bakery,3.99,1, EA,3.99, per unit
2026-07-26, New India Bazar, VEER FROZEN SWEET CORN 2LB, Frozen Foods,3.99,2, LB,2, per lb
2026-07-26, New India Bazar, VEER GREEN MOONG BEANS WHOLE 2LB, Lentils / Pulses,3.99,2, LB,2, per lb
2026-07-26, New India Bazar, SPINACH BAG SMALL, Produce,2.29,1, EA,2.29, per unit
