Date,Store / Outlet,item name,Category,Receipt Price ($),Weight / Qty,Unit,Normalized Unit Price ($),Std Unit
2026-06-13, Apni Mandi, DEEP RICE FLOUR, Grains / Flours,2.99,907, GM,0.33, per 100g
2026-06-13, Apni Mandi, Crisco Pure Vegetable Oil, Baking / Oils,$5.99,40.00, OZ,$0.15, per oz
2026-06-13, Apni Mandi, Hans moth, Lentils / Pulses,$3.99,2.00, LB,$2.00, per lb
2026-06-13, Apni Mandi, Khazana Poha Thick, Grains / Flours,$3.99,2.00, LBS,$2.00, per lb
2026-06-13, Apni Mandi, GARVI GUJARAT BHEL SEV, Snacks,$3.29,285.00, GM,$1.15, per 100g
2026-06-13, Apni Mandi, DEEP MASOOR DAL SPLIT LENTILS, Lentils / Pulses,$3.79,907.00, GM,$0.42, per 100g
2026-06-13, Apni Mandi, Ganesh Idli Batter, Dairy / Fresh Foods,$6.79,32.00, OZ,$0.21, per oz
2026-06-13, Apni Mandi, Oreo Milk Cookies, Snacks,$1.99,1.00, EA,$1.99, per unit
2026-06-13, Apni Mandi, Thai Chilli per lb, Produce,0.45,0.09, LB,4.99, per lb
2026-06-13, Apni Mandi, Green Bell Pepper Per Lb, Produce,1.38,0.99, LB,1.39, per lb
