2026-08-30, New India Bazar, VEER MOONG CHILKA 2LB, Grains / Pulses, 3.99, 2, LB, 2.00, per lb
2026-08-30, New India Bazar, PARLE KRACKJACK VALUE PACK (264GM), Snacks, 2.29, 264, GM, 0.87, per 100g
2026-08-30, New India Bazar, DEEP GARLIC NAAN FAMILY PACK 12P, Bakery / Frozen, 8.99, 12, EA, 0.75, per unit
2026-08-30, New India Bazar, C&H SUGAR GRANULATED 4LB, Pantry / Sugar, 5.29, 4, LB, 1.32, per lb
2026-08-30, New India Bazar, TOMATO ROUND, Produce, 1.87, 1.45, LB, 1.29, per lb
2026-08-30, New India Bazar, CILANTRO, Produce, 0.39, 1, EA, 0.39, per unit
2026-08-30, New India Bazar, CARROT, Produce, 0.34, 0.57, LB, 0.59, per lb
2026-08-30, New India Bazar, INDIAN OKRA, Produce, 1.37, 0.92, LB, 1.49, per lb
2026-08-30, New India Bazar, NESCAFE CLASICO DAWN JAR 1.7OZ, Beverages / Coffee, 4.49, 1.7, OZ, 2.64, per oz
2026-08-30, New India Bazar, DEEP SI KERALA MIXTURE 12OZ, Snacks, 3.79, 12, OZ, 0.32, per oz
2026-08-30, New India Bazar, SURATI METHI 340GM, Produce / Frozen, 2.49, 340, GM, 0.73, per 100g
2026-08-30, New India Bazar, DEEP CORIANDER CHILI BHAKRI 7OZ, Snacks / Bakery, 2.79, 7, OZ, 0.40, per oz
2026-08-30, New India Bazar, HALDIRAMS KHARI METHI 400GM, Bakery / Snacks, 4.29, 400, GM, 1.07, per 100g
2026-08-30, New India Bazar, CURRY/NEEM LEAVES, Produce, 1.00, 1, EA, 1.00, per unit
2026-08-30, New India Bazar, CABBAGE, Produce, 3.31, 3.34, LB, 0.99, per lb
2026-08-30, New India Bazar, VEER RAJAGRA FLOUR 400GM, Grains / Flours, 1.79, 400, GM, 0.45, per 100g
2026-08-30, New India Bazar, ONION RED, Produce, 0.50, 0.51, LB, 0.99, per lb
2026-08-30, New India Bazar, GINGER, Produce, 0.22, 0.15, LB, 1.49, per lb
2026-08-30, New India Bazar, JOY DATE TAMARIND CHUTNEY 16OZ, Pantry / Condiments, 6.99, 16, OZ, 0.44, per oz
2026-08-30, New India Bazar, VEER FLAX SEEDS 7OZ, Seeds / Pantry, 1.99, 7, OZ, 0.28, per oz
2026-08-30, New India Bazar, KOHINOOR BLUE BASMATI RICE 10LB, Grains / Rice, 14.99, 10, LB, 1.50, per lb
